epoch,accuracy,loss,val_accuracy,val_loss
0,0.5327053666114807,1.5437092781066895,0.6715481281280518,0.9072399139404297
1,0.7294610142707825,0.7986078262329102,0.7887029051780701,0.646278977394104
2,0.7953950762748718,0.6166960597038269,0.8158996105194092,0.6051633954048157
3,0.8131868243217468,0.5624889731407166,0.8138075470924377,0.5976865291595459
4,0.8205128312110901,0.5185989737510681,0.8179916143417358,0.5906060338020325
5,0.8226059675216675,0.5033295154571533,0.7991631627082825,0.6356683373451233
6,0.8294087052345276,0.507077693939209,0.8221757411956787,0.537938117980957
7,0.8299319744110107,0.47779709100723267,0.8138075470924377,0.5720266103744507
8,0.8398743867874146,0.4517019987106323,0.8263598084449768,0.5536699295043945
9,0.848770260810852,0.45010900497436523,0.8221757411956787,0.591701865196228
10,0.8466771245002747,0.44612234830856323,0.8158996105194092,0.579666256904602
11,0.8461538553237915,0.4404480755329132,0.8263598084449768,0.5382314920425415
12,0.8587127327919006,0.42375844717025757,0.8096234202384949,0.5890899300575256
13,0.8503401279449463,0.4220646023750305,0.7991631627082825,0.6126060485839844
14,0.8587127327919006,0.4189613163471222,0.8096234202384949,0.5676499605178833
15,0.8587127327919006,0.3974819481372833,0.8138075470924377,0.6082428097724915
16,0.8560962677001953,0.407266229391098,0.8075313568115234,0.6399384140968323
17,0.8634222745895386,0.39008116722106934,0.8305439352989197,0.5303701758384705
18,0.8587127327919006,0.3910510241985321,0.8138075470924377,0.5757777690887451
19,0.865515410900116,0.39714476466178894,0.8096234202384949,0.5826425552368164
20,0.8717948794364929,0.3742290735244751,0.8179916143417358,0.5567699074745178
21,0.8738880157470703,0.3631546199321747,0.8054393529891968,0.5862604379653931
22,0.8723181486129761,0.3680824637413025,0.8200836777687073,0.5523484945297241
23,0.8733647465705872,0.3619917631149292,0.8033472895622253,0.5986829996109009
24,0.8697017431259155,0.3578912913799286,0.8284518718719482,0.5394599437713623
25,0.8775510191917419,0.345453143119812,0.8221757411956787,0.5571523904800415
26,0.8744112849235535,0.34821295738220215,0.8117154836654663,0.577125608921051
27,0.8822606205940247,0.34881824254989624,0.8096234202384949,0.6031502485275269
28,0.8780742883682251,0.3541688024997711,0.8284518718719482,0.5807352662086487
29,0.8822606205940247,0.33312687277793884,0.8200836777687073,0.6018116474151611
