epoch,accuracy,loss,val_accuracy,val_loss
0,0.6741935610771179,1.3557490110397339,0.6597937941551208,0.964718222618103
1,0.7638709545135498,0.7204862833023071,0.7061855792999268,0.841611385345459
2,0.8045161366462708,0.5300447940826416,0.7448453903198242,0.7378658056259155
3,0.8245161175727844,0.45992007851600647,0.7525773048400879,0.7292118072509766
4,0.8361290097236633,0.4386221766471863,0.7603092789649963,0.7600767016410828
5,0.8393548130989075,0.43388932943344116,0.7371134161949158,0.7361537218093872
6,0.8561290502548218,0.41560623049736023,0.7706185579299927,0.6571459174156189
7,0.8593548536300659,0.3948056399822235,0.7989690899848938,0.6307435035705566
8,0.8722580671310425,0.3752743899822235,0.7886598110198975,0.6320528388023376
9,0.8799999952316284,0.3626441955566406,0.7731958627700806,0.6731675267219543
10,0.874193549156189,0.3606562912464142,0.7860824465751648,0.6701310873031616
11,0.8729032278060913,0.3584871292114258,0.7783505320549011,0.6701876521110535
12,0.8819354772567749,0.3461548686027527,0.7912371158599854,0.6563932299613953
13,0.8806451559066772,0.33990368247032166,0.7912371158599854,0.6338107585906982
14,0.8819354772567749,0.3527142405509949,0.780927836894989,0.6646226048469543
15,0.8845161199569702,0.3342134654521942,0.7989690899848938,0.6431775093078613
16,0.8896774053573608,0.32668814063072205,0.7938144207000732,0.7006939053535461
17,0.8974193334579468,0.3158527910709381,0.7912371158599854,0.6588279604911804
18,0.8903225660324097,0.31906771659851074,0.7938144207000732,0.6811203360557556
19,0.8999999761581421,0.3039070665836334,0.780927836894989,0.7651869058609009
20,0.8935483694076538,0.31500762701034546,0.7938144207000732,0.6883628368377686
21,0.9006451368331909,0.30735063552856445,0.8041236996650696,0.6642398834228516
22,0.9058064222335815,0.2949473559856415,0.7938144207000732,0.6883955597877502
23,0.9064516425132751,0.2887551188468933,0.7886598110198975,0.7108572125434875
24,0.9032257795333862,0.2923714518547058,0.7886598110198975,0.6971580982208252
25,0.9083871245384216,0.28586363792419434,0.8067010045051575,0.6593095660209656
26,0.9064516425132751,0.2817056179046631,0.7860824465751648,0.7546598315238953
27,0.9083871245384216,0.2824198007583618,0.7860824465751648,0.7582129240036011
28,0.9090322852134705,0.2735776901245117,0.7963917255401611,0.7157133221626282
29,0.9109677672386169,0.261359304189682,0.7912371158599854,0.7207739949226379
