epoch,accuracy,loss,val_accuracy,val_loss
0,0.6104578971862793,1.4402211904525757,0.6707921028137207,1.148322343826294
1,0.7425742745399475,0.8538417220115662,0.7252475023269653,0.901005744934082
2,0.7803217768669128,0.7083152532577515,0.7462871074676514,0.7981773018836975
3,0.7957921028137207,0.654481053352356,0.7821782231330872,0.7455918788909912
4,0.8053836822509766,0.6185793876647949,0.7846534848213196,0.7122042179107666
5,0.8146658539772034,0.5884222388267517,0.7772276997566223,0.736525297164917
6,0.8236386179924011,0.5653112530708313,0.7920792102813721,0.6965708136558533
7,0.8202351331710815,0.554323136806488,0.7264851331710815,0.7447863817214966
8,0.8251856565475464,0.5416284799575806,0.7784653306007385,0.7172434329986572
9,0.822710394859314,0.5439935922622681,0.7425742745399475,0.7474100589752197
10,0.8276609182357788,0.521446704864502,0.75,0.7170314788818359
11,0.8360148668289185,0.507344126701355,0.7685643434524536,0.7014906406402588
12,0.8369430899620056,0.496995747089386,0.7871286869049072,0.6898009777069092
13,0.8391088843345642,0.4884212613105774,0.7462871074676514,0.7663267254829407
14,0.8384901285171509,0.48447272181510925,0.75,0.737147331237793
15,0.8384901285171509,0.48190319538116455,0.7537128925323486,0.7395684123039246
16,0.8425123691558838,0.47463861107826233,0.7524752616882324,0.7677826881408691
17,0.8406559228897095,0.4717736840248108,0.7512376308441162,0.7244266271591187
18,0.8452970385551453,0.4627971351146698,0.7735148668289185,0.688102662563324
19,0.8496286869049072,0.45272204279899597,0.7772276997566223,0.6969364881515503
20,0.8468440771102905,0.44488322734832764,0.7797029614448547,0.7041971683502197
21,0.8490098714828491,0.4450746774673462,0.7438119053840637,0.7650240063667297
22,0.8533415794372559,0.43949800729751587,0.7413366436958313,0.7341969013214111
23,0.8561262488365173,0.4344448447227478,0.7599009871482849,0.7421360015869141
24,0.8517945408821106,0.4395076334476471,0.75,0.7421532869338989
25,0.8586015105247498,0.4299609363079071,0.7747524976730347,0.718994677066803
26,0.8623143434524536,0.4178912341594696,0.7462871074676514,0.7731899619102478
27,0.8613861203193665,0.40775948762893677,0.7735148668289185,0.7401454448699951
28,0.8691213130950928,0.4001128673553467,0.7821782231330872,0.7524779438972473
29,0.8610767126083374,0.407629132270813,0.75,0.7656037211418152
