epoch,accuracy,loss,val_accuracy,val_loss
0,0.8055830597877502,0.6388583183288574,0.8150594234466553,0.5555381774902344
1,0.8078956007957458,0.4791259467601776,0.8137384653091431,0.5489881634712219
2,0.8100429177284241,0.46844547986984253,0.8117569088935852,0.517304539680481
3,0.8103733062744141,0.46055859327316284,0.8107661604881287,0.5338577628135681
4,0.8105384707450867,0.45686033368110657,0.8117569088935852,0.5362192988395691
5,0.8094648122787476,0.4514724612236023,0.805812418460846,0.5483579635620117
6,0.812603235244751,0.4469713866710663,0.8107661604881287,0.5464746952056885
7,0.8130161762237549,0.4458959102630615,0.8114266991615295,0.5328773260116577
8,0.8143376111984253,0.44146600365638733,0.8021796345710754,0.5372157692909241
9,0.8125206232070923,0.4400249123573303,0.810435950756073,0.5320038795471191
