epoch,T,L,Lr,Lc,acc,pur,nmi,ari
0,,0.7964057326316833,0.7948570847511292,0.0015484904870390892,0.18756348041981719,0.41699582439905203,0.006830012835770098,0.0033724723812954775
1,,0.7990218997001648,0.794716477394104,0.004305449314415455,0.19354474664259114,0.41699582439905203,0.0065302166553208585,0.00409568493600423
2,,0.8052766919136047,0.7949272394180298,0.010349592193961143,0.1874506263401422,0.41699582439905203,0.006195414303057475,0.003908331162704351
3,,0.8195934295654297,0.7962601184844971,0.02333347126841545,0.18022796524094345,0.41699582439905203,0.005847758764271405,0.0034574234616785273
4,,0.8479836583137512,0.8000408411026001,0.047942619770765305,0.1742466990181695,0.41699582439905203,0.005121430623117087,0.0025707275344123586
5,,0.892035722732544,0.8069226741790771,0.08511307835578918,0.1691682654327954,0.41699582439905203,0.004439363502892549,0.0018875284751581412
6,,0.9469043612480164,0.8184488415718079,0.12845563888549805,0.17356957454011962,0.41699582439905203,0.004879443952727794,0.003079358164916588
7,,1.0072345733642578,0.8349040746688843,0.17233039438724518,0.17526238573524433,0.41699582439905203,0.005061992453660695,0.0030405032816164623
8,,1.0620554685592651,0.8545217514038086,0.20753367245197296,0.17503667757589436,0.41699582439905203,0.005380783388350416,0.0030580212085544434
9,,1.0932022333145142,0.869738757610321,0.22346363961696625,0.17040966030922017,0.41699582439905203,0.0052006773558413676,0.0021093733683621623
10,,1.1063958406448364,0.8757129311561584,0.23068280518054962,0.17334386638076965,0.41699582439905203,0.004960417113821765,0.0022865819628435854
11,,1.1168060302734375,0.8811344504356384,0.23567169904708862,0.17063536846857014,0.41699582439905203,0.004574081501721738,0.0014698579423545778
12,,1.1281219720840454,0.8849947452545166,0.24312752485275269,0.17232817966369485,0.41699582439905203,0.004672971346651519,0.001840136892962256
13,,1.1357173919677734,0.8882192373275757,0.24749836325645447,0.17266674190271977,0.41699582439905203,0.004712306632681122,0.002004709592772809
14,,1.14436936378479,0.8927373290061951,0.25163179636001587,0.17334386638076965,0.41699582439905203,0.004797586314259376,0.002177959081214567
15,,1.1483088731765747,0.8946447968482971,0.2536638379096985,0.17040966030922017,0.41699582439905203,0.004659670320389312,0.0016755936016337068
16,,1.1496305465698242,0.8952168822288513,0.25441405177116394,0.16950682767182035,0.41699582439905203,0.004516018429594268,0.0017064795268818462
17,,1.1529769897460938,0.8967295289039612,0.25624731183052063,0.16882970319377044,0.41699582439905203,0.004465706989733488,0.00159849410803763
18,,1.1556808948516846,0.8986472487449646,0.25703397393226624,0.1686039950344205,0.41699582439905203,0.004544278725303798,0.0018780501149892426
19,,1.1534521579742432,0.8974650502204895,0.2559869587421417,0.17165105518564497,0.41699582439905203,0.0047355379913402934,0.002447954071218344
