epoch,T,L,Lr,Lc
0,,0.7451955676078796,0.7408953309059143,0.004300402011722326
1,,0.7548056244850159,0.7407083511352539,0.014097308740019798
2,,0.777863621711731,0.7422409057617188,0.03562263399362564
3,,0.8200933337211609,0.7476258873939514,0.07246691733598709
4,,0.881039023399353,0.757615864276886,0.12342333048582077
5,,0.9470895528793335,0.776372492313385,0.17071639001369476
6,,1.0099854469299316,0.7993297576904297,0.2106553167104721
7,,1.064335584640503,0.8248997926712036,0.23943564295768738
8,,1.0956261157989502,0.8424557447433472,0.25317060947418213
9,,1.1071422100067139,0.8501859903335571,0.25695595145225525
