epoch,T,L,Lr,Lc,acc,pur,nmi,ari
0,,0.8408204913139343,0.8384590744972229,0.0023615590762346983,0.2201912260967379,0.41985376827896514,0.015226477231165679,0.015800312267984236
1,,0.8427172303199768,0.8384978175163269,0.004219347145408392,0.22750281214848145,0.4201349831271091,0.012711273748791453,0.015571042999404495
2,,0.845125138759613,0.838373601436615,0.006751615554094315,0.22553430821147358,0.422103487064117,0.013669078003253243,0.014414112735980054
3,,0.8484882712364197,0.8384900093078613,0.009998285211622715,0.22244094488188976,0.4201349831271091,0.014253578206540406,0.01315987639896578
4,,0.8536627292633057,0.8389759659767151,0.014687026850879192,0.21287964004499438,0.41957255343082117,0.013560481239485328,0.010758558965046747
5,,0.8622512817382812,0.8400833010673523,0.022168107330799103,0.203037120359955,0.4201349831271091,0.013327021459712932,0.009203175842123462
6,,0.878191351890564,0.8430598974227905,0.0351315513253212,0.19038245219347583,0.41929133858267714,0.013140772813436034,0.00888644829181969
7,,0.9037142395973206,0.8488108515739441,0.05490342900156975,0.19122609673790777,0.4156355455568054,0.013317928397195242,0.008058008601939145
8,,0.9335667490959167,0.8556993007659912,0.07786740362644196,0.19038245219347583,0.41647919010123735,0.012274573057368381,0.007348772955536859
9,,0.9661710262298584,0.8640082478523254,0.10216251015663147,0.1813835770528684,0.4184476940382452,0.011972897802779792,0.006064260991135192
10,,1.0029884576797485,0.873710036277771,0.1292785257101059,0.18166479190101237,0.4187289088863892,0.011341086262410724,0.0049626187224894504
11,,1.0392860174179077,0.8833619356155396,0.1559240072965622,0.1889763779527559,0.41985376827896514,0.011645648704290636,0.005235758548257776
12,,1.0695537328720093,0.8911421298980713,0.17841173708438873,0.1830708661417323,0.41226096737907764,0.010259402542498948,0.003430504238790458
13,,1.093431830406189,0.8979979753494263,0.19543403387069702,0.18222722159730034,0.4119797525309336,0.009432957381618135,0.0022114796786753374
14,,1.1113004684448242,0.9041494727134705,0.20715093612670898,0.18785151856017998,0.4142294713160855,0.010608902616914714,0.003570149445031283
15,,1.1203068494796753,0.9069834351539612,0.21332351863384247,0.17716535433070865,0.41226096737907764,0.008652172170351363,0.0028626240524638794
16,,1.1281640529632568,0.9104161262512207,0.2177479863166809,0.18250843644544432,0.4119797525309336,0.009482323640805972,0.002795868701121325
17,,1.134041428565979,0.9125342965126038,0.22150707244873047,0.1844769403824522,0.41338582677165353,0.009872108559643636,0.00366599696162759
18,,1.1372606754302979,0.9141791462898254,0.22308126091957092,0.1858830146231721,0.4119797525309336,0.00996604095892202,0.003891122621531245
19,,1.1396297216415405,0.9156661629676819,0.22396348416805267,0.18616422947131608,0.4128233970753656,0.009469368274455268,0.0035918398705628613
