epoch,T,L,Lr,Lc
0,,0.6157652139663696,0.6089702844619751,0.006795092951506376
1,,0.6212822198867798,0.6080543398857117,0.013228067196905613
2,,0.627812385559082,0.6075670123100281,0.02024552784860134
3,,0.635284960269928,0.6083623766899109,0.02692265994846821
4,,0.6442999243736267,0.6100460290908813,0.03425399586558342
5,,0.6564290523529053,0.6133576035499573,0.043071448802948
6,,0.6701527833938599,0.6176692843437195,0.052483588457107544
7,,0.6853165626525879,0.6229042410850525,0.06241229549050331
8,,0.7035166621208191,0.6296860575675964,0.07383052259683609
9,,0.7225143313407898,0.6372328996658325,0.08528107404708862
10,,0.745177149772644,0.646385133266449,0.09879207611083984
11,,0.7674566507339478,0.6554263234138489,0.11203024536371231
12,,0.8010358810424805,0.6705585718154907,0.1304771453142166
13,,0.8305274248123169,0.6858797669410706,0.14464764297008514
14,,0.8475064635276794,0.6947221755981445,0.1527843028306961
15,,0.8737070560455322,0.7105569243431091,0.16315005719661713
16,,0.90224289894104,0.7320250272750854,0.17021788656711578
17,,0.9158041477203369,0.7422998547554016,0.17350421845912933
18,,0.9321042895317078,0.7544674873352051,0.1776369959115982
19,,0.9466965794563293,0.7664932608604431,0.18020296096801758
20,,0.9603666067123413,0.7787055373191833,0.18166109919548035
21,,0.9708001613616943,0.7869312763214111,0.18386873602867126
22,,0.979862630367279,0.7934797406196594,0.18638306856155396
23,,0.9868608117103577,0.7989604473114014,0.1879003345966339
24,,0.9912862777709961,0.8019097447395325,0.189376562833786
25,,0.9987657070159912,0.8105672597885132,0.188198521733284
26,,1.0066367387771606,0.8180931210517883,0.18854360282421112
27,,1.0079220533370972,0.8209593892097473,0.18696272373199463
28,,1.0143405199050903,0.8262403607368469,0.18810036778450012
29,,1.0196354389190674,0.8326483964920044,0.18698705732822418
30,,1.0219480991363525,0.8361589312553406,0.18578925728797913
31,,1.0244771242141724,0.8386527895927429,0.18582426011562347
32,,1.0280760526657104,0.8423245549201965,0.18575122952461243
33,,1.0314582586288452,0.847103476524353,0.18435470759868622
34,,1.0362428426742554,0.853894054889679,0.18234887719154358
35,,1.037414312362671,0.8553348779678345,0.1820794641971588
36,,1.0411118268966675,0.8595340847969055,0.1815774142742157
37,,1.0450128316879272,0.8612810969352722,0.18373171985149384
38,,1.0468238592147827,0.8653913736343384,0.18143253028392792
39,,1.0491797924041748,0.8671085238456726,0.18207132816314697
40,,1.0526928901672363,0.8710740208625793,0.18161877989768982
41,,1.053947925567627,0.8715486526489258,0.18239924311637878
42,,1.056699514389038,0.8742210268974304,0.182478666305542
43,,1.0580624341964722,0.8751406669616699,0.18292193114757538
44,,1.0582830905914307,0.878345251083374,0.17993764579296112
45,,1.060052752494812,0.8827102780342102,0.1773422211408615
46,,1.0604040622711182,0.88507479429245,0.17532910406589508
47,,1.0623950958251953,0.8871281743049622,0.17526692152023315
48,,1.0646440982818604,0.8893370032310486,0.17530733346939087
49,,1.0623691082000732,0.8894153833389282,0.1729537397623062
50,,1.0580919981002808,0.8873966932296753,0.1706952303647995
51,,1.0588583946228027,0.890155017375946,0.16870319843292236
52,,1.0582472085952759,0.8885567784309387,0.16969062387943268
53,,1.0598876476287842,0.890170156955719,0.1697181612253189
54,,1.0588876008987427,0.8922528624534607,0.16663452982902527
55,,1.058568000793457,0.894312858581543,0.1642550826072693
56,,1.0588905811309814,0.8950435519218445,0.1638471931219101
57,,1.0604947805404663,0.8970295190811157,0.16346512734889984
58,,1.0579372644424438,0.8949306607246399,0.16300657391548157
59,,1.0546430349349976,0.8936915397644043,0.16095171868801117
60,,1.0535756349563599,0.8952040672302246,0.15837107598781586
61,,1.0533541440963745,0.8952161073684692,0.15813782811164856
62,,1.0523444414138794,0.8955097794532776,0.15683485567569733
63,,1.0530753135681152,0.8966476321220398,0.1564275175333023
64,,1.0535868406295776,0.896979033946991,0.1566077172756195
65,,1.0501259565353394,0.8960684537887573,0.15405738353729248
66,,1.0503478050231934,0.8978940844535828,0.1524529904127121
67,,1.0525723695755005,0.8992428779602051,0.15332937240600586
68,,1.0540213584899902,0.8987788558006287,0.15524254739284515
69,,1.0517195463180542,0.8984330892562866,0.15328626334667206
70,,1.0508476495742798,0.8995417356491089,0.15130580961704254
71,,1.0516307353973389,0.8990777730941772,0.15255287289619446
72,,1.053092360496521,0.9021121859550476,0.15098044276237488
73,,1.0535788536071777,0.9027835130691528,0.15079551935195923
74,,1.0536116361618042,0.9018002152442932,0.1518111377954483
75,,1.0524241924285889,0.9022946357727051,0.15012973546981812
76,,1.0512632131576538,0.9005800485610962,0.15068329870700836
77,,1.0541791915893555,0.903059720993042,0.15111945569515228
78,,1.053200125694275,0.9016536474227905,0.1515461802482605
79,,1.0516357421875,0.901750922203064,0.1498851776123047
80,,1.0524100065231323,0.9037317037582397,0.14867852628231049
81,,1.0531715154647827,0.9049179553985596,0.14825350046157837
82,,1.0520641803741455,0.9031814932823181,0.14888276159763336
