epoch,T,L,Lr,Lc
0,,0.7652298212051392,0.7618271708488464,0.003402836387977004
1,,0.7726876735687256,0.7618088722229004,0.010878878645598888
2,,0.7908597588539124,0.7629812955856323,0.027878502383828163
3,,0.8246724605560303,0.7673158049583435,0.0573565736413002
4,,0.8755047917366028,0.7752362489700317,0.1002681627869606
5,,0.9231111407279968,0.7885984182357788,0.13451272249221802
6,,0.9685027003288269,0.8054472804069519,0.16305571794509888
7,,1.02149498462677,0.8266576528549194,0.19483710825443268
8,,1.0692671537399292,0.8467118144035339,0.22255541384220123
9,,1.1035112142562866,0.8611002564430237,0.24241100251674652
