epoch,T,L,Lr,Lc
0,,0.7512615323066711,0.7454575896263123,0.005804070737212896
1,,0.7533033490180969,0.7445368766784668,0.008766314014792442
2,,0.7568380236625671,0.744020938873291,0.012817421928048134
3,,0.7623957395553589,0.7440588474273682,0.018337033689022064
4,,0.7708042860031128,0.7447493076324463,0.026054896414279938
5,,0.783892035484314,0.7466558814048767,0.03723611682653427
6,,0.8049887418746948,0.7508102059364319,0.05417848378419876
7,,0.8314341306686401,0.7562816143035889,0.07515259087085724
8,,0.859095573425293,0.7621846795082092,0.0969110056757927
9,,0.8911358714103699,0.7700293064117432,0.1211063414812088
